0,1,2,3,4,5,6
Parsley,100,grams,grams,100,,2. Stir herbs into butter thoroughly.
Thyme,100,grams,grams,100,,
Rosemary,100,grams,grams,100,,
Tarragon,100,grams,grams,100,,
,,,,,,
,,,,,,
Honey Butter,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Honey,1,lb,lb,1,,1. Mix honey and butter.
Butter (softened),3,lb,lb,3,,
,,,,,,
,,,,,,
Mexi Relish,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Red Cabbage,1,bag (5 lbs),bag (5 lbs),1,,1. Combine ingredients.
Chip Aioli,2,cups,cups,2,,
Lime Juice,1,tbsp,tbsp,1,,
,,,,,,
,,,,,,
Chimichurri,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Parsley,100,g,g,100,,1. Pick herbs and finely chop.
Thyme,100,g,g,100,,"2. Mix with peppers, lemon juice and oil."
Rosemary,100,g,g,100,,
Calabrian Chile,100,g,g,100,,
EVOO,300,g,g,300,,
Lemon Juice,20,g,g,20,,
Notes:,⚠️ WORKING RECIPE — PLEASE REFINE AND RECORD,,,,,
,,,,,,
,,,,,,
Tomato Confit,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Thyme,20,grams,grams,20,,
Tarragon,20,grams,grams,20,,
Rosemary,20,grams,grams,20,,
Notes:,⚠️ Recipe appears incomplete in source,,,,,
,,,,,,
,,,,,,
Beer Batter (Large Batch),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
AP Flour,24,cups,cups,24,,1. Follow standard beer batter procedure.
Salt,12,cup,cup,12,,
Baking Soda,0.333333333333333,cup,cup,0.333333333333333,,
